Origin,Destination,Shipment Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Delivery Difference (Days)
Pune,Kolkata,2023-08-15,Trailer,1578,Clear,Heavy,1,2
Kolkata,Mumbai,2024-01-07,Lorry,1173,Rain,Light,1,1
Hyderabad,Ahmedabad,2023-12-12,Trailer,826,Clear,Light,1,4
Ahmedabad,Bangalore,2024-03-31,Truck,1067,Clear,Light,0,0
Bangalore,Hyderabad,2023-08-21,Trailer,1764,Clear,Moderate,1,1
Delhi,Ahmedabad,2024-04-22,Truck,1238,Clear,Heavy,1,2
Hyderabad,Ahmedabad,2024-05-22,Lorry,564,Clear,Moderate,1,1
Ahmedabad,Kolkata,2024-06-01,Container,957,Rain,Light,1,1
Lucknow,Jaipur,2023-02-19,Truck,1646,Clear,Moderate,1,1
Delhi,Bangalore,2024-02-19,Lorry,625,Clear,Light,0,0
Chennai,Bangalore,2023-07-10,Lorry,1938,Rain,Light,1,1
Bangalore,Pune,2023-08-24,Trailer,282,Clear,Heavy,1,2
Kolkata,Mumbai,2023-07-01,Trailer,1635,Clear,Moderate,1,1
Lucknow,Pune,2023-02-01,Lorry,1708,Clear,Light,1,3
Kolkata,Bangalore,2023-08-29,Truck,1019,Clear,Light,0,0
Delhi,Mumbai,2023-01-12,Lorry,522,Storm,Light,1,3
Bangalore,Ahmedabad,2024-04-11,Truck,965,Clear,Moderate,1,1
Kolkata,Hyderabad,2024-05-26,Trailer,1060,Clear,Light,0,0
Hyderabad,Bangalore,2024-04-12,Truck,1462,Clear,Moderate,1,1
Lucknow,Delhi,2023-04-02,Container,1350,Clear,Heavy,1,2
Pune,Jaipur,2023-10-04,Lorry,1757,Clear,Moderate,1,5
Pune,Jaipur,2024-02-07,Trailer,980,Clear,Heavy,1,4
Jaipur,Ahmedabad,2023-03-08,Trailer,296,Clear,Heavy,1,2
Chennai,Delhi,2024-03-10,Container,929,Storm,Light,1,3
Jaipur,Delhi,2024-02-17,Trailer,238,Clear,Light,1,5
Mumbai,Pune,2023-08-28,Truck,1452,Clear,Light,0,0
Kolkata,Chennai,2023-03-28,Container,1436,Clear,Light,0,0
Jaipur,Chennai,2023-01-25,Container,632,Clear,Moderate,1,1
Mumbai,Jaipur,2023-12-10,Container,1229,Rain,Moderate,1,2
Hyderabad,Jaipur,2023-06-15,Lorry,975,Clear,Moderate,1,1
Ahmedabad,Mumbai,2023-10-01,Container,544,Clear,Heavy,1,2
Pune,Lucknow,2023-12-03,Lorry,1769,Rain,Heavy,1,3
Bangalore,Jaipur,2023-10-08,Truck,1960,Fog,Heavy,1,8
Ahmedabad,Kolkata,2023-07-06,Trailer,1632,Clear,Heavy,1,5
Hyderabad,Mumbai,2023-02-04,Lorry,1438,Clear,Moderate,1,1
Pune,Jaipur,2023-03-02,Trailer,1038,Fog,Light,1,2
Pune,Bangalore,2023-08-27,Truck,967,Fog,Light,1,2
Pune,Chennai,2023-04-05,Truck,244,Rain,Moderate,1,7
Chennai,Delhi,2023-06-14,Trailer,912,Clear,Heavy,1,2
Chennai,Jaipur,2023-05-15,Trailer,1046,Storm,Light,1,3
Ahmedabad,Kolkata,2023-07-17,Container,541,Clear,Moderate,1,1
Bangalore,Pune,2023-09-27,Trailer,1748,Clear,Moderate,1,-1
Chennai,Kolkata,2024-03-18,Trailer,1399,Clear,Moderate,1,1
Ahmedabad,Jaipur,2023-04-27,Container,1023,Clear,Light,0,0
Kolkata,Hyderabad,2023-12-14,Trailer,1684,Clear,Moderate,1,1
Lucknow,Hyderabad,2023-02-03,Container,1662,Storm,Light,1,3
Pune,Bangalore,2024-03-22,Trailer,955,Rain,Light,1,1
Bangalore,Pune,2024-03-21,Truck,870,Fog,Light,1,2
Pune,Lucknow,2023-08-07,Lorry,1217,Rain,Moderate,1,2
Lucknow,Kolkata,2023-04-17,Lorry,1031,Clear,Light,0,0
Bangalore,Lucknow,2024-05-08,Lorry,1824,Clear,Moderate,1,1
Ahmedabad,Lucknow,2023-07-01,Truck,792,Clear,Light,0,0
Bangalore,Delhi,2023-02-02,Trailer,725,Clear,Light,0,0
Bangalore,Mumbai,2023-08-05,Truck,935,Rain,Moderate,1,2
Ahmedabad,Bangalore,2024-05-05,Trailer,638,Rain,Light,1,1
Kolkata,Mumbai,2023-05-11,Container,674,Fog,Light,1,6
Ahmedabad,Chennai,2023-12-31,Trailer,349,Storm,Light,1,8
Pune,Mumbai,2023-11-11,Trailer,871,Clear,Heavy,1,2
Lucknow,Jaipur,2023-03-14,Truck,411,Clear,Light,0,0
Chennai,Ahmedabad,2023-07-05,Truck,1819,Clear,Moderate,1,1
Ahmedabad,Delhi,2023-10-19,Container,803,Rain,Moderate,1,6
Kolkata,Ahmedabad,2024-04-05,Container,1582,Clear,Light,0,0
Kolkata,Mumbai,2023-06-14,Trailer,1308,Clear,Moderate,1,1
Kolkata,Jaipur,2023-07-25,Truck,813,Clear,Light,0,0
Lucknow,Mumbai,2023-02-20,Container,1290,Clear,Moderate,1,6
Ahmedabad,Chennai,2023-11-16,Lorry,1132,Rain,Light,1,1
Bangalore,Hyderabad,2023-04-13,Container,1528,Clear,Moderate,1,1
Delhi,Lucknow,2024-04-14,Trailer,963,Clear,Moderate,1,1
Kolkata,Ahmedabad,2023-01-01,Container,1069,Rain,Light,1,4
Bangalore,Delhi,2023-01-05,Lorry,871,Clear,Light,0,0
Mumbai,Kolkata,2024-03-25,Trailer,1189,Clear,Moderate,1,1
Hyderabad,Bangalore,2024-03-25,Lorry,301,Rain,Light,1,1
Hyderabad,Bangalore,2023-11-03,Trailer,1488,Clear,Moderate,1,1
Pune,Hyderabad,2023-01-15,Trailer,471,Clear,Heavy,1,5
Mumbai,Ahmedabad,2023-03-09,Lorry,668,Rain,Heavy,1,3
Delhi,Lucknow,2024-03-26,Lorry,1358,Clear,Heavy,1,2
Pune,Mumbai,2024-02-07,Truck,1509,Fog,Heavy,1,4
Chennai,Ahmedabad,2024-03-19,Lorry,1709,Clear,Heavy,1,2
Kolkata,Lucknow,2023-07-22,Truck,1272,Clear,Light,1,3
Ahmedabad,Mumbai,2024-04-12,Container,1554,Clear,Moderate,1,1
Jaipur,Kolkata,2024-04-29,Lorry,494,Rain,Moderate,1,5
Kolkata,Jaipur,2024-04-15,Truck,501,Clear,Light,0,0
Jaipur,Bangalore,2024-05-18,Container,513,Fog,Light,1,2
Ahmedabad,Chennai,2024-02-20,Container,959,Clear,Heavy,1,2
Hyderabad,Bangalore,2023-02-01,Lorry,793,Clear,Moderate,1,5
Lucknow,Jaipur,2024-02-22,Trailer,1091,Fog,Moderate,1,3
Pune,Lucknow,2023-02-16,Trailer,1443,Clear,Moderate,1,1
Jaipur,Ahmedabad,2023-09-30,Trailer,1113,Clear,Moderate,1,1
Chennai,Mumbai,2024-04-10,Trailer,748,Rain,Moderate,1,2
Chennai,Kolkata,2023-10-28,Container,792,Clear,Moderate,1,1
Mumbai,Chennai,2024-02-21,Container,252,Clear,Heavy,1,2
Bangalore,Lucknow,2023-12-28,Container,1659,Clear,Moderate,1,1
Bangalore,Kolkata,2023-06-12,Trailer,706,Fog,Heavy,1,4
Mumbai,Kolkata,2023-03-08,Lorry,273,Clear,Light,0,0
Hyderabad,Jaipur,2023-05-17,Truck,897,Clear,Light,0,0
Lucknow,Delhi,2023-12-27,Container,441,Clear,Moderate,1,1
Jaipur,Hyderabad,2023-11-23,Container,1935,Clear,Moderate,1,1
Pune,Lucknow,2024-05-22,Container,1749,Storm,Moderate,1,4
Ahmedabad,Pune,2023-10-23,Truck,648,Clear,Moderate,1,4
Bangalore,Hyderabad,2023-12-15,Container,1806,Clear,Heavy,1,2
Delhi,Bangalore,2024-05-31,Container,1520,Clear,Light,0,0
Ahmedabad,Mumbai,2023-05-26,Lorry,1054,Clear,Light,0,0
Chennai,Lucknow,2023-02-07,Truck,1931,Clear,Moderate,1,6
Hyderabad,Mumbai,2024-01-30,Container,475,Clear,Heavy,1,2
Jaipur,Mumbai,2024-06-01,Container,1151,Clear,Moderate,1,1
Pune,Mumbai,2023-01-07,Trailer,977,Rain,Light,1,1
Ahmedabad,Chennai,2024-05-29,Container,896,Clear,Moderate,1,1
Pune,Lucknow,2023-11-28,Trailer,441,Rain,Light,1,6
Mumbai,Kolkata,2023-02-22,Trailer,715,Rain,Moderate,1,4
Mumbai,Hyderabad,2024-02-22,Container,1400,Clear,Light,0,0
Ahmedabad,Mumbai,2023-02-27,Truck,368,Clear,Moderate,1,1
Pune,Chennai,2024-01-06,Truck,899,Clear,Moderate,1,1
Pune,Hyderabad,2023-11-22,Trailer,1143,Fog,Moderate,1,8
Hyderabad,Lucknow,2024-05-11,Container,1262,Clear,Moderate,1,1
Pune,Chennai,2023-05-12,Container,928,Clear,Light,1,4
Chennai,Delhi,2023-10-23,Truck,735,Clear,Light,0,0
Lucknow,Hyderabad,2023-01-01,Lorry,1479,Clear,Light,0,0
Bangalore,Chennai,2023-01-22,Truck,495,Clear,Moderate,1,1
Chennai,Delhi,2024-01-22,Container,796,Clear,Moderate,1,-1
Ahmedabad,Kolkata,2024-01-21,Trailer,1703,Clear,Heavy,1,2
Hyderabad,Ahmedabad,2023-11-14,Trailer,882,Clear,Heavy,1,7
Delhi,Lucknow,2024-01-20,Truck,625,Rain,Heavy,1,3
Hyderabad,Lucknow,2023-11-18,Trailer,1281,Clear,Moderate,1,1
Lucknow,Hyderabad,2023-07-15,Container,1635,Clear,Moderate,1,5
Ahmedabad,Hyderabad,2023-11-04,Container,537,Clear,Heavy,1,2
Delhi,Hyderabad,2024-05-28,Trailer,1978,Clear,Moderate,1,1
Hyderabad,Lucknow,2024-04-20,Truck,936,Rain,Light,1,6
Delhi,Kolkata,2024-02-17,Trailer,1479,Clear,Light,0,0
Lucknow,Ahmedabad,2023-04-07,Container,1658,Clear,Light,1,3
Delhi,Hyderabad,2023-02-06,Trailer,1264,Fog,Moderate,1,3
Hyderabad,Delhi,2024-05-25,Truck,729,Clear,Moderate,1,1
Pune,Ahmedabad,2023-06-26,Container,1249,Fog,Moderate,1,3
Hyderabad,Mumbai,2023-04-24,Lorry,1279,Clear,Light,0,0
Hyderabad,Chennai,2023-01-07,Lorry,851,Clear,Light,0,0
Lucknow,Kolkata,2023-04-21,Lorry,967,Clear,Moderate,1,1
Jaipur,Bangalore,2023-03-21,Truck,883,Clear,Light,0,0
Ahmedabad,Bangalore,2023-05-18,Trailer,1597,Clear,Moderate,1,6
Lucknow,Hyderabad,2023-12-08,Truck,1281,Clear,Moderate,1,1
Delhi,Hyderabad,2023-11-03,Truck,1443,Clear,Light,0,0
Mumbai,Hyderabad,2023-09-06,Trailer,354,Clear,Moderate,1,1
Lucknow,Delhi,2023-10-06,Trailer,1176,Clear,Light,0,0
Lucknow,Bangalore,2023-11-20,Trailer,886,Clear,Light,0,0
Kolkata,Bangalore,2023-06-02,Lorry,789,Rain,Moderate,1,2
Bangalore,Mumbai,2023-08-06,Trailer,1959,Clear,Heavy,1,6
Bangalore,Ahmedabad,2023-03-12,Container,1298,Clear,Light,0,0
Kolkata,Pune,2023-02-06,Container,1894,Clear,Moderate,1,1
Bangalore,Kolkata,2023-03-22,Container,1449,Clear,Heavy,1,2
Kolkata,Pune,2023-08-19,Lorry,245,Rain,Moderate,1,2
Delhi,Mumbai,2023-01-23,Trailer,1404,Clear,Heavy,1,5
Bangalore,Hyderabad,2023-08-20,Container,1049,Clear,Light,1,3
Bangalore,Ahmedabad,2023-01-25,Lorry,1038,Clear,Moderate,1,1
Lucknow,Ahmedabad,2024-03-27,Container,1776,Clear,Moderate,1,1
Hyderabad,Chennai,2024-01-26,Trailer,1141,Clear,Moderate,1,1
Chennai,Lucknow,2024-05-17,Lorry,1647,Clear,Heavy,1,2
Lucknow,Jaipur,2023-12-01,Truck,1885,Clear,Light,0,0
Hyderabad,Kolkata,2023-07-10,Lorry,472,Clear,Light,0,0
Pune,Ahmedabad,2024-05-12,Trailer,1222,Fog,Moderate,1,8
Delhi,Chennai,2023-12-12,Trailer,1489,Clear,Light,0,0
Chennai,Lucknow,2023-09-19,Container,1269,Clear,Light,1,3
Delhi,Pune,2023-05-14,Container,610,Clear,Light,1,4
Ahmedabad,Kolkata,2023-08-20,Trailer,1879,Clear,Light,0,0
Kolkata,Mumbai,2023-02-24,Lorry,335,Clear,Heavy,1,5
Lucknow,Hyderabad,2023-12-04,Container,819,Clear,Moderate,1,1
Ahmedabad,Pune,2024-04-02,Truck,207,Clear,Light,0,0
Chennai,Kolkata,2024-01-06,Container,1123,Clear,Light,1,4
Pune,Kolkata,2023-09-11,Lorry,1538,Clear,Moderate,1,3
Ahmedabad,Hyderabad,2023-01-10,Lorry,344,Storm,Moderate,1,4
Delhi,Jaipur,2023-06-29,Container,1420,Clear,Moderate,1,1
Mumbai,Delhi,2023-06-16,Trailer,691,Clear,Light,0,0
Delhi,Chennai,2023-11-12,Container,1823,Clear,Light,0,0
Hyderabad,Kolkata,2024-01-07,Container,400,Clear,Moderate,1,1
Hyderabad,Jaipur,2023-04-19,Container,1178,Clear,Moderate,1,5
Lucknow,Bangalore,2023-09-26,Lorry,1421,Rain,Light,1,1
Lucknow,Delhi,2024-01-15,Lorry,871,Fog,Moderate,1,3
Jaipur,Mumbai,2023-01-10,Container,908,Storm,Moderate,1,4
Lucknow,Mumbai,2023-12-17,Trailer,1284,Clear,Moderate,1,1
Chennai,Jaipur,2023-01-29,Lorry,1564,Clear,Moderate,1,6
Hyderabad,Mumbai,2024-04-13,Lorry,1095,Clear,Heavy,1,2
Delhi,Kolkata,2024-03-17,Truck,1795,Clear,Light,0,0
Kolkata,Delhi,2023-10-26,Trailer,1255,Storm,Moderate,1,4
Ahmedabad,Lucknow,2023-12-12,Lorry,288,Clear,Moderate,1,1
Lucknow,Chennai,2023-09-09,Truck,978,Clear,Light,1,5
Jaipur,Lucknow,2023-12-23,Lorry,1499,Fog,Light,1,2
Jaipur,Kolkata,2023-02-27,Container,724,Clear,Moderate,1,1
Mumbai,Hyderabad,2023-06-22,Container,879,Clear,Heavy,1,2
Lucknow,Mumbai,2023-12-20,Trailer,1508,Clear,Heavy,1,5
Bangalore,Delhi,2024-03-09,Container,475,Clear,Moderate,1,1
Ahmedabad,Jaipur,2023-02-20,Lorry,1417,Clear,Light,1,4
Bangalore,Ahmedabad,2024-04-15,Trailer,850,Clear,Light,1,5
Lucknow,Chennai,2023-06-19,Lorry,959,Clear,Moderate,1,1
Delhi,Ahmedabad,2024-01-24,Container,715,Storm,Heavy,1,5
Ahmedabad,Jaipur,2023-09-12,Trailer,609,Clear,Moderate,1,4
Kolkata,Pune,2024-01-08,Container,850,Clear,Light,1,3
Ahmedabad,Kolkata,2023-08-07,Lorry,1168,Clear,Moderate,1,1
Delhi,Pune,2023-04-10,Container,299,Clear,Heavy,1,5
Bangalore,Lucknow,2023-10-18,Trailer,322,Clear,Moderate,1,1
Lucknow,Ahmedabad,2023-02-14,Lorry,607,Clear,Heavy,1,2
Ahmedabad,Kolkata,2023-05-13,Truck,1771,Clear,Light,0,0
Hyderabad,Ahmedabad,2024-01-09,Container,1760,Clear,Light,0,0
Chennai,Kolkata,2023-11-14,Lorry,1101,Clear,Heavy,1,2
Ahmedabad,Hyderabad,2023-06-29,Truck,1163,Clear,Light,0,0
Ahmedabad,Lucknow,2023-08-23,Container,781,Clear,Light,0,0
Delhi,Chennai,2023-09-10,Lorry,1072,Clear,Light,0,0
Chennai,Ahmedabad,2023-08-23,Lorry,390,Clear,Moderate,1,1
Ahmedabad,Hyderabad,2023-06-23,Truck,1105,Storm,Light,1,3
Pune,Jaipur,2023-08-03,Container,885,Rain,Light,1,1
Kolkata,Hyderabad,2023-09-19,Trailer,1027,Clear,Light,0,0
Delhi,Pune,2023-10-27,Lorry,269,Clear,Moderate,1,3
Pune,Jaipur,2023-11-28,Lorry,954,Clear,Light,0,0
Hyderabad,Delhi,2024-04-10,Lorry,289,Clear,Heavy,1,2
Ahmedabad,Kolkata,2023-10-01,Trailer,847,Clear,Heavy,1,2
Pune,Lucknow,2023-08-02,Container,777,Clear,Light,0,0
Hyderabad,Jaipur,2023-11-11,Trailer,1086,Rain,Light,1,6
Lucknow,Jaipur,2023-12-14,Lorry,1032,Fog,Heavy,1,4
Jaipur,Delhi,2023-02-01,Container,1881,Clear,Moderate,1,1
Bangalore,Mumbai,2023-04-30,Container,629,Fog,Light,1,4
Pune,Mumbai,2023-05-23,Lorry,851,Rain,Heavy,1,3
Mumbai,Bangalore,2023-12-31,Trailer,1306,Clear,Heavy,1,2
